id,boat_name,skipper,vessel_make,vessel_model,mmsi,mmsi_confidence,phrf_lis,phrf_orc_aph,events,active,race_class
c001,Abilyn,Josh Reisberg,J/Boats,J/120,368042460,verified,39.0,,"Block Island Race Week 2026,ALIR2026",YES,Double-Handed
c002,Alibi,John Sartorius,J/Boats,J/120,366821680,probable,,508.6,Block Island Race Week 2026,YES,
c003,ARMA,Dubois/Eaves/Krow,Grand Prix,GP42,338447497,probable,-39.0,,Block Island Race Week 2026,YES,
c004,BANTER,Matthew Gimple,Andrews,A40RC,368317270,probable,,506.8,Block Island Race Week 2026,YES,
c005,Blitzen,John Storck Jr,J/Boats,J/130,368234250,probable,33.0,,Block Island Race Week 2026,YES,
c006,Blitzkrieg,Matthew Schaedler,J/Boats,J/122,,not_found,,,Block Island Race Week 2026,NO,
c007,Blue Skies,William Gunther,Alden,Alden Skye 50,,not_found,,527.5,Block Island Race Week 2026,NO,
c008,Cathexis,Bryan & Kara Schapperle,X-Yachts,X-38,338249654,verified,81.0,,Block Island Race Week 2026,YES,
c009,Celeritas,William Beery,Soverel,Soverel 33,338407434,probable,,,Block Island Race Week 2026,YES,
c010,Charlotte,Richard West,J/Boats,J/120,,not_found,51.0,,Block Island Race Week 2026,NO,
c011,Christopher Dragon XII,Linda & Andrew Weiss,Italia Yachts,Italia 11.98,338324718,probable,45.0,526.2,Block Island Race Week 2026,YES,
c012,Co-Conspirator,Matt Roleke & Trace Dittenhofer,J/Boats,J/33,338507533,verified,78.0,,Block Island Race Week 2026,YES,
c013,Cool Breeze,USCGA,Mills,Mills 43,338124724,probable,,466.5,Block Island Race Week 2026,YES,
c014,Cougar,Leonard Sitar,J/Boats,J/160,,not_found,,464.2,Block Island Race Week 2026,NO,
c015,Dire Wolf,Constantine Baris,J/Boats,J/122,368257390,probable,,508.4,Block Island Race Week 2026,YES,
c016,DUET,Andrian Lubimov,J/Boats,J/120,368367990,probable,45.0,,"Block Island Race Week 2026,LIS Weekend Race 2026-06-21,ALIR2026",YES,Spinnaker ToD/ToT
c017,Eagle,Steven Levy,J/Boats,J/121,368040250,probable,,,"Block Island Race Week 2026,LIS Weekend Race 2026-06-21",YES,
c018,Eclipse,Marc Berkowitz,Sabre,Sabre 386,338189907,probable,,,Block Island Race Week 2026,YES,
c019,Elan,US Coast Guard Academy,Nautor,Swan 53,368298420,probable,60.0,,Block Island Race Week 2026,YES,
c020,Eventyr,Michael Kohler,J/Boats,J/99,368327540,probable,69.0,,Block Island Race Week 2026,YES,
c021,Fireball,Bill & Jackie Baxter,J/Boats,J/111,338349417,probable,24.0,,Block Island Race Week 2026,YES,
c022,Flying Lady,Phillip Dickey,Nautor,Swan 46 Mk 1,367481990,probable,63.0,,Block Island Race Week 2026,YES,
c023,Fortissimo,USMMA,Ionic,IC37,368372710,probable,-15.0,,Block Island Race Week 2026,YES,
c024,FULL TILT,Jonathan Thomson,J/Boats,J/109,338173639,probable,69.0,,Block Island Race Week 2026,YES,
c025,Good News,Macrae Sykes,J/Boats,J/125,368131030,probable,,,Block Island Race Week 2026,YES,
c026,Groupe 5,NEKA Sailing,Beneteau,Figaro 2,368255480,probable,,523.5,Block Island Race Week 2026,YES,
c027,Habiru,Steve Losik,J/Boats,J/121,338413878,verified,15.0,,"Block Island Race Week 2026,ALIR2026",YES,
c028,Hunter,USMMA,Mills,Mills 41,,not_found,-48.0,,Block Island Race Week 2026,NO,
c029,Imagine,Matt Blake,X-Yachts,X-38,338153506,probable,90.0,,"Block Island Race Week 2026,ALIR2026",YES,
c030,Inisharon,Jim Murphy,Lyman Morse,Seguin 49,367517840,verified,,537.8,Block Island Race Week 2026,YES,
c031,In Theory,Peter McWhinnie,JPK,JPK 1080,368070090,verified,,528.2,Block Island Race Week 2026,YES,
c032,Katara56,Daniel Griffin,X-Yachts,X-Yacht 56,,not_found,-18.0,,"Block Island Race Week 2026,ALIR2026",NO,
c033,Kent Racing,Tim Kent,IMOCA/Open,Class 40,368198940,verified,,,Block Island Race Week 2026,YES,
c034,Lioness,Lion Sailing Sailmakers,Davidson,Sydney 38,338160808,probable,24.0,,"Block Island Race Week 2026,ALIR2026",YES,
c035,Loki,David Rosow,J/Boats,J/122,368006960,probable,,511.3,Block Island Race Week 2026,YES,
c036,Lucky,Bryon Ehrhart,Juan K,Juan K 88,368277850,probable,,,Block Island Race Week 2026,YES,
