# Midnight Rider — End-to-End Data Flow Trace Log
# Format: [TIMESTAMP] [FLOW] SOURCE→DEST: description
[2026-06-14T23:23:45.117233] [INIT] data-flow.log initialized
[2026-06-19T18:26:41.385Z] [FLOW] J30→SK: leeway=0.0deg [signalk-j30-leeway]
[2026-06-19T18:26:41.400Z] [FLOW] Compass→SK: headingTrue=247.5deg [signalk-heading-true-calculator]
[2026-06-19T18:26:41.611Z] [FLOW] J30→SK: leeway=0.0deg [signalk-j30-leeway]
[2026-06-19T18:26:41.613Z] [FLOW] Compass→SK: headingTrue=248.0deg [signalk-heading-true-calculator]
[2026-06-19T18:26:41.849Z] [FLOW] J30→SK: leeway=0.0deg [signalk-j30-leeway]
[2026-06-19T18:26:41.850Z] [FLOW] Compass→SK: headingTrue=248.6deg [signalk-heading-true-calculator]
[2026-06-19T18:26:42.449Z] [FLOW] J30→SK: leeway=0.0deg [signalk-j30-leeway]
[2026-06-19T18:26:42.451Z] [FLOW] Compass→SK: headingTrue=246.9deg [signalk-heading-true-calculator]
[2026-06-19T18:26:42.780Z] [FLOW] J30→SK: leeway=0.0deg [signalk-j30-leeway]
[2026-06-19T18:26:42.781Z] [FLOW] Compass→SK: headingTrue=247.8deg [signalk-heading-true-calculator]
[2026-06-19T18:26:43.590Z] [FLOW] J30→SK: leeway=0.0deg [signalk-j30-leeway]
[2026-06-19T18:26:43.591Z] [FLOW] Compass→SK: headingTrue=248.9deg [signalk-heading-true-calculator]
[2026-06-19T18:26:43.830Z] [FLOW] J30→SK: leeway=0.0deg [signalk-j30-leeway]
[2026-06-19T18:26:43.832Z] [FLOW] Compass→SK: headingTrue=249.1deg [signalk-heading-true-calculator]
[2026-06-19T18:26:44.251Z] [FLOW] J30→SK: leeway=0.0deg [signalk-j30-leeway]
[2026-06-19T18:26:44.253Z] [FLOW] Compass→SK: headingTrue=248.8deg [signalk-heading-true-calculator]
[2026-06-19T18:26:44.582Z] [FLOW] J30→SK: leeway=0.0deg [signalk-j30-leeway]
[2026-06-19T18:26:44.583Z] [FLOW] Compass→SK: headingTrue=248.6deg [signalk-heading-true-calculator]
[2026-06-19T18:26:44.671Z] [FLOW] J30→SK: leeway=0.0deg [signalk-j30-leeway]
[2026-06-19T18:26:44.673Z] [FLOW] Compass→SK: headingTrue=248.6deg [signalk-heading-true-calculator]
[2026-06-19T18:26:45.031Z] [FLOW] J30→SK: leeway=0.0deg [signalk-j30-leeway]
[2026-06-19T18:26:45.032Z] [FLOW] Compass→SK: headingTrue=248.5deg [signalk-heading-true-calculator]
[2026-06-19T18:26:46.683Z] [FLOW] J30→SK: leeway=0.0deg [signalk-j30-leeway]
[2026-06-19T18:26:46.685Z] [FLOW] Compass→SK: headingTrue=249.0deg [signalk-heading-true-calculator]
[2026-06-19T18:26:47.193Z] [FLOW] J30→SK: leeway=0.0deg [signalk-j30-leeway]
[2026-06-19T18:26:47.195Z] [FLOW] Compass→SK: headingTrue=249.1deg [signalk-heading-true-calculator]
[2026-06-19T18:26:47.947Z] [FLOW] J30→SK: leeway=0.0deg [signalk-j30-leeway]
[2026-06-19T18:26:47.949Z] [FLOW] Compass→SK: headingTrue=249.2deg [signalk-heading-true-calculator]
[2026-06-19T18:26:48.485Z] [FLOW] J30→SK: leeway=0.0deg [signalk-j30-leeway]
[2026-06-19T18:26:48.487Z] [FLOW] Compass→SK: headingTrue=249.4deg [signalk-heading-true-calculator]
[2026-06-19T18:26:48.723Z] [FLOW] J30→SK: leeway=0.0deg [signalk-j30-leeway]
[2026-06-19T18:26:48.725Z] [FLOW] Compass→SK: headingTrue=249.7deg [signalk-heading-true-calculator]
[2026-06-19T18:26:49.114Z] [FLOW] J30→SK: leeway=0.0deg [signalk-j30-leeway]
[2026-06-19T18:26:49.116Z] [FLOW] Compass→SK: headingTrue=249.9deg [signalk-heading-true-calculator]
[2026-06-19T18:26:49.623Z] [FLOW] J30→SK: leeway=0.0deg [signalk-j30-leeway]
[2026-06-19T18:26:49.624Z] [FLOW] Compass→SK: headingTrue=250.0deg [signalk-heading-true-calculator]
[2026-06-19T18:26:49.865Z] [FLOW] J30→SK: leeway=0.0deg [signalk-j30-leeway]
[2026-06-19T18:26:49.866Z] [FLOW] Compass→SK: headingTrue=250.1deg [signalk-heading-true-calculator]
[2026-06-19T18:26:49.954Z] [FLOW] J30→SK: leeway=0.0deg [signalk-j30-leeway]
[2026-06-19T18:26:49.955Z] [FLOW] Compass→SK: headingTrue=250.1deg [signalk-heading-true-calculator]
[2026-06-19T18:26:50.614Z] [FLOW] J30→SK: leeway=0.0deg [signalk-j30-leeway]
[2026-06-19T18:26:50.615Z] [FLOW] Compass→SK: headingTrue=250.4deg [signalk-heading-true-calculator]
[2026-06-19T18:26:50.763Z] [FLOW] J30→SK: leeway=0.0deg [signalk-j30-leeway]
[2026-06-19T18:26:50.764Z] [FLOW] Compass→SK: headingTrue=250.5deg [signalk-heading-true-calculator]
[2026-06-19T18:26:51.274Z] [FLOW] J30→SK: leeway=0.0deg [signalk-j30-leeway]
[2026-06-19T18:26:51.275Z] [FLOW] Compass→SK: headingTrue=250.9deg [signalk-heading-true-calculator]
[2026-06-19T18:26:51.424Z] [FLOW] J30→SK: leeway=0.0deg [signalk-j30-leeway]
[2026-06-19T18:26:51.425Z] [FLOW] Compass→SK: headingTrue=251.0deg [signalk-heading-true-calculator]
[2026-06-19T18:26:52.085Z] [FLOW] J30→SK: leeway=0.0deg [signalk-j30-leeway]
[2026-06-19T18:26:52.087Z] [FLOW] Compass→SK: headingTrue=251.2deg [signalk-heading-true-calculator]
[2026-06-19T18:26:52.534Z] [FLOW] J30→SK: leeway=0.0deg [signalk-j30-leeway]
[2026-06-19T18:26:52.535Z] [FLOW] Compass→SK: headingTrue=251.5deg [signalk-heading-true-calculator]
[2026-06-19T18:26:52.774Z] [FLOW] J30→SK: leeway=0.0deg [signalk-j30-leeway]
[2026-06-19T18:26:52.775Z] [FLOW] Compass→SK: headingTrue=252.1deg [signalk-heading-true-calculator]
[2026-06-19T18:26:53.284Z] [FLOW] J30→SK: leeway=0.0deg [signalk-j30-leeway]
[2026-06-19T18:26:53.286Z] [FLOW] Compass→SK: headingTrue=253.4deg [signalk-heading-true-calculator]
[2026-06-19T18:26:54.274Z] [FLOW] J30→SK: leeway=0.0deg [signalk-j30-leeway]
[2026-06-19T18:26:54.276Z] [FLOW] Compass→SK: headingTrue=254.0deg [signalk-heading-true-calculator]
[2026-06-19T18:26:54.425Z] [FLOW] J30→SK: leeway=0.0deg [signalk-j30-leeway]
[2026-06-19T18:26:54.426Z] [FLOW] Compass→SK: headingTrue=254.1deg [signalk-heading-true-calculator]
[2026-06-19T18:26:54.756Z] [FLOW] J30→SK: leeway=0.0deg [signalk-j30-leeway]
[2026-06-19T18:26:54.757Z] [FLOW] Compass→SK: headingTrue=254.2deg [signalk-heading-true-calculator]
[2026-06-19T18:26:55.054Z] [FLOW] J30→SK: leeway=0.0deg [signalk-j30-leeway]
[2026-06-19T18:26:55.056Z] [FLOW] Compass→SK: headingTrue=254.4deg [signalk-heading-true-calculator]
[2026-06-19T18:26:55.295Z] [FLOW] J30→SK: leeway=0.0deg [signalk-j30-leeway]
[2026-06-19T18:26:55.297Z] [FLOW] Compass→SK: headingTrue=254.6deg [signalk-heading-true-calculator]
[2026-06-19T18:26:55.745Z] [FLOW] J30→SK: leeway=0.0deg [signalk-j30-leeway]
