Event ID,Event,Year,Event Dates,Overall Fleet Group,Racing Circle,Rating Division,Overall Fleet Rank,Overall Fleet Size,Overall Fleet Finishers,Class / Division,Class Rank,Result Status,Corrected Time,Elapsed Time,Finish Time,Boat Key,Boat Name,Sail Number,Boat Type,Length,Owner / Skipper,Yacht Club,Home Port,Rating System,Rating Metric,Published Rating,Latest Rating,Latest Rating Year,Events Attended,Participation Rows,MMSI,MMSI Status,MMSI Confidence,MMSI Source,MMSI Rationale,YachtScoring Result Detail,YachtScoring Scratch Sheet,YachtScoring Boat Detail,Data Notes,Best Available MMSI,AIS MMSI,AIS Name,AIS Class,AIS Ship Type,AIS Reported Length,AIS Reported Beam,AIS Reported Draft,AIS Callsign,AIS First Seen UTC,AIS Last Seen UTC,AIS Observation Count,AIS Match Confidence,AIS Match Basis,AIS Source
16423,Around Long Island Regatta,2024,"July 25 - 29, 2024",1\. Around Long Island - Non Spinnaker Racing | PHRF Division,1\. Around Long Island - Non Spinnaker Racing,PHRF Division,5.0,9,6,PHRF - Non-Spinnaker Division 1 - Warning Signal 13:00,1.0,FINISHED,2:03:52:00,2:14:02:39,07/28/2024 @ 03:07:39 (GMT-05:00),maggie,Maggie,330,Catalina 320,32.5 Ft,Artur Piotrowski,"City Island Yacht Club Bronx, NY","New Britain, CT, USA",PHRF,ToD / ToT,177.0,180.0,2025,2024 Around Long Island Regatta; 2025 Around Long Island Regatta,,,Not identified from public sources reviewed,,,,https://yachtscoring.com/event_results_detail/16423/1,https://yachtscoring.com/event_scratch_sheet/16423,https://yachtscoring.com/boatdetail/50029/509858,"Overall fleet rank and size come from YachtScoring Race 1 detailed results. The overall fleet is the source-defined racing circle plus rating division, not the individual class.",,,,,,,,,,,,,,,
16423,Around Long Island Regatta,2024,"July 25 - 29, 2024",1\. Around Long Island - Non Spinnaker Racing | PHRF Division,1\. Around Long Island - Non Spinnaker Racing,PHRF Division,,9,6,PHRF - Non-Spinnaker Division 1 - Warning Signal 13:00,2.0,RET,,1:04:52:48,07/26/2024 @ 17:57:48 (GMT-05:00),orzeliii,Orzel III,7,Cape Marine Coast 34,34,Peter Gutowski,Liberty Landing (??),"Montclair, NJ, USA",PHRF,ToD / ToT,222.0,222.0,2024,2024 Around Long Island Regatta,,,Not identified from public sources reviewed,,,,https://yachtscoring.com/event_results_detail/16423/1,https://yachtscoring.com/event_scratch_sheet/16423,https://yachtscoring.com/boatdetail/16423/304356,"Overall fleet rank and size come from YachtScoring Race 1 detailed results. The overall fleet is the source-defined racing circle plus rating division, not the individual class.",,,,,,,,,,,,,,,
16423,Around Long Island Regatta,2024,"July 25 - 29, 2024",1\. Around Long Island - Non Spinnaker Racing | PHRF Division,1\. Around Long Island - Non Spinnaker Racing,PHRF Division,,9,6,PHRF - Non-Spinnaker Division 1 - Warning Signal 13:00,3.0,RET,,2:01:48:04,07/27/2024 @ 14:53:04 (GMT-05:00),markus,Markus,103,Contest 30,29.58,Artur Jasinski,Polish Sailing Club of NY,"Brooklyn, NY, USA",PHRF,ToD / ToT,222.0,222.0,2024,2024 Around Long Island Regatta,,,Not identified from public sources reviewed,,,,https://yachtscoring.com/event_results_detail/16423/1,https://yachtscoring.com/event_scratch_sheet/16423,https://yachtscoring.com/boatdetail/16423/305189,"Overall fleet rank and size come from YachtScoring Race 1 detailed results. The overall fleet is the source-defined racing circle plus rating division, not the individual class.",,,,,,,,,,,,,,,
16423,Around Long Island Regatta,2024,"July 25 - 29, 2024",1\. Around Long Island - Non Spinnaker Racing | PHRF Division,1\. Around Long Island - Non Spinnaker Racing,PHRF Division,,9,6,PHRF - Non-Spinnaker Division 1 - Warning Signal 13:00,4.0,RET,,2:23:36:18,07/28/2024 @ 12:41:18 (GMT-05:00),java,Java,279,Jeanneau 36.2 SO,36 Ft,Marc Grill,Port Washington Yacht Club,"PRT WASHINGTN, NY, USA",PHRF,ToD / ToT,180.0,183.0,2026,2024 Around Long Island Regatta; 2025 Around Long Island Regatta; 2026 Around Long Island Regatta,,,Not identified from public sources reviewed,,,,https://yachtscoring.com/event_results_detail/16423/1,https://yachtscoring.com/event_scratch_sheet/16423,https://yachtscoring.com/boatdetail/50645/522716,"Overall fleet rank and size come from YachtScoring Race 1 detailed results. The overall fleet is the source-defined racing circle plus rating division, not the individual class.",,,,,,,,,,,,,,,
16423,Around Long Island Regatta,2024,"July 25 - 29, 2024",1\. Around Long Island - Non Spinnaker Racing | PHRF Division,1\. Around Long Island - Non Spinnaker Racing,PHRF Division,1.0,9,6,PHRF - Non-Spinnaker Division 2 - Warning Signal 13:00,1.0,FINISHED,1:13:26:49,1:20:00:07,07/27/2024 @ 09:05:07 (GMT-05:00),shootingstar,Shooting Star,USA 20802,Peterson 34,33.9 Ft,David Kingsbury,Housatonic Boat Club,"Orange, CT, USA",PHRF,ToD / ToT,114.0,114.0,2026,2024 Around Long Island Regatta; 2024 Vineyard Race; 2025 Around Long Island Regatta; 2025 Vineyard Race; 2026 Around Long Island Regatta; 2026 Vineyard Race,,,Not identified from public sources reviewed,,,,https://yachtscoring.com/event_results_detail/16423/1,https://yachtscoring.com/event_scratch_sheet/16423,https://yachtscoring.com/boatdetail/50775/529463,"Overall fleet rank and size come from YachtScoring Race 1 detailed results. The overall fleet is the source-defined racing circle plus rating division, not the individual class.",366732660,366732660,SHOOTING STAR,Not provided in export,Sailing,10.0,4.0,,Not provided in export,2026-09-04T13:01:52.597Z,2026-09-05T05:19:31.061Z,1757.0,High,"Exact normalized name match, compatible AIS vessel type, and compatible reported length.",Attached AIS_EVENTS_RAW.csv
16423,Around Long Island Regatta,2024,"July 25 - 29, 2024",1\. Around Long Island - Non Spinnaker Racing | PHRF Division,1\. Around Long Island - Non Spinnaker Racing,PHRF Division,2.0,9,6,PHRF - Non-Spinnaker Division 2 - Warning Signal 13:00,2.0,FINISHED,1:13:37:23,1:21:43:50,07/27/2024 @ 10:48:50 (GMT-05:00),dolcezza,Dolcezza,53,Hunter Legend 37.5,37 Ft,Neill Parker Jr,Manhasset Bay YC,"Port Washington, NY, USA",PHRF,ToD / ToT,141.0,150.0,2026,2024 Around Long Island Regatta; 2025 Around Long Island Regatta; 2026 Around Long Island Regatta,,,Not identified from public sources reviewed,,,,https://yachtscoring.com/event_results_detail/16423/1,https://yachtscoring.com/event_scratch_sheet/16423,https://yachtscoring.com/boatdetail/50645/522910,"Overall fleet rank and size come from YachtScoring Race 1 detailed results. The overall fleet is the source-defined racing circle plus rating division, not the individual class.",,,,,,,,,,,,,,,
16423,Around Long Island Regatta,2024,"July 25 - 29, 2024",1\. Around Long Island - Non Spinnaker Racing | PHRF Division,1\. Around Long Island - Non Spinnaker Racing,PHRF Division,3.0,9,6,PHRF - Non-Spinnaker Division 2 - Warning Signal 13:00,3.0,FINISHED,1:14:42:16,1:22:38:22,07/27/2024 @ 11:43:22 (GMT-05:00),firstrate,First Rate,USA 40819,Tartan 34-2,34.42 Ft,Marek Antkowiak,CIYC/Polish Sailing Club of NY,"LAKE HOPATCONG, NJ, USA",PHRF,ToD / ToT,138.0,141.0,2026,2024 Around Long Island Regatta; 2026 Around Long Island Regatta; 2026 Vineyard Race,,,Not identified from public sources reviewed,,,,https://yachtscoring.com/event_results_detail/16423/1,https://yachtscoring.com/event_scratch_sheet/16423,https://yachtscoring.com/boatdetail/50775/529766,"Overall fleet rank and size come from YachtScoring Race 1 detailed results. The overall fleet is the source-defined racing circle plus rating division, not the individual class.",338442426,338442426,FIRST RATE,Not provided in export,Sailing,10.0,3.0,,Not provided in export,2026-09-04T12:50:09.735Z,2026-09-05T07:22:57.972Z,1939.0,High,"Exact normalized name match, compatible AIS vessel type, and compatible reported length.",Attached AIS_EVENTS_RAW.csv
16423,Around Long Island Regatta,2024,"July 25 - 29, 2024",1\. Around Long Island - Non Spinnaker Racing | PHRF Division,1\. Around Long Island - Non Spinnaker Racing,PHRF Division,4.0,9,6,PHRF - Non-Spinnaker Division 2 - Warning Signal 13:00,4.0,FINISHED,1:16:38:44,1:23:22:23,07/27/2024 @ 12:27:23 (GMT-05:00),inessaii,Inessa II,USA 11379,Jeanneau,44 Ft,Nikolas Grubecki,CIYC,"Highland Falls, NY, USA",PHRF,ToD / ToT,117.0,117.0,2025,2024 Around Long Island Regatta; 2025 Around Long Island Regatta,,,Not identified from public sources reviewed,,,,https://yachtscoring.com/event_results_detail/16423/1,https://yachtscoring.com/event_scratch_sheet/16423,https://yachtscoring.com/boatdetail/50029/511616,"Overall fleet rank and size come from YachtScoring Race 1 detailed results. The overall fleet is the source-defined racing circle plus rating division, not the individual class.",,,,,,,,,,,,,,,
16423,Around Long Island Regatta,2024,"July 25 - 29, 2024",1\. Around Long Island - Non Spinnaker Racing | PHRF Division,1\. Around Long Island - Non Spinnaker Racing,PHRF Division,6.0,9,6,PHRF - Non-Spinnaker Division 2 - Warning Signal 13:00,5.0,FINISHED,2:08:36:49,2:16:22:34,07/28/2024 @ 05:27:34 (GMT-05:00),piragua,Piragua,086,Beneteau Oceanis 41.1,40.9,Richard LaFontaine,MCYC,"New York, NY, USA",PHRF,ToD / ToT,135.0,135.0,2025,2024 Around Long Island Regatta; 2025 Around Long Island Regatta,,,Not identified from public sources reviewed,,,,https://yachtscoring.com/event_results_detail/16423/1,https://yachtscoring.com/event_scratch_sheet/16423,https://yachtscoring.com/boatdetail/50029/508268,"Overall fleet rank and size come from YachtScoring Race 1 detailed results. The overall fleet is the source-defined racing circle plus rating division, not the individual class.",338333468,338333468,PIRAGUA,Not provided in export,Sailing,13.0,4.0,,Not provided in export,2026-09-04T00:05:09.783Z,2026-09-07T14:31:38.831Z,276.0,High,"Exact normalized name match, compatible AIS vessel type, and compatible reported length.",Attached AIS_EVENTS_RAW.csv
16423,Around Long Island Regatta,2024,"July 25 - 29, 2024",2\. Around Long Island - Spinnaker Racing | PHRF Division,2\. Around Long Island - Spinnaker Racing,PHRF Division,12.0,34,27,PHRF - Spinnaker Division 3 - Warning Signal 13:10,1.0,FINISHED,1:13:37:24,1:22:25:15,07/27/2024 @ 11:40:15 (GMT-05:00),actaea,ACTAEA,USA 3815,Bermuda 40,40.75 Ft,Michael M Cone,"EYC, CCA, NYYC","Philadelphia, PA, USA",PHRF,ToD / ToT,153.0,153.0,2026,2024 Around Long Island Regatta; 2025 Around Long Island Regatta; 2026 Around Long Island Regatta,,,Not identified from public sources reviewed,,,,https://yachtscoring.com/event_results_detail/16423/1,https://yachtscoring.com/event_scratch_sheet/16423,https://yachtscoring.com/boatdetail/50645/523379,"Overall fleet rank and size come from YachtScoring Race 1 detailed results. The overall fleet is the source-defined racing circle plus rating division, not the individual class.",,,,,,,,,,,,,,,
